cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz34309,Harlowton,0.5712,0.6941,0.4338
cz19600,Newark,0.5677,0.7998,844.3
cz20500,Boston,0.5527,0.8108,605.8
cz36303,Jackson,0.5422,0.7641,4.161
cz20901,Bridgeport,0.5319,0.8079,354.7
cz20402,Nantucket,0.5315,0.7605,135.9
cz26402,Baker,0.5314,0.761,1.233
cz35202,Gunnison,0.529,0.781,2.185
cz19500,Toms River,0.5275,0.8014,497.6
cz34604,Lusk,0.5214,0.8182,0.5072
cz11304,Washington DC,0.5159,0.7903,569.9
cz31003,Scott City,0.515,0.7925,2.206
cz28601,Oberlin,0.5146,0.8262,1.434
cz27012,Gettysburg,0.5119,0.8817,1.339
cz38402,Pullman,0.5112,0.7912,12.16
cz20403,Oak Bluffs,0.508,0.7711,82.77
cz19400,New York,0.5,0.7676,2595
cz28704,Laramie,0.4913,0.818,3.511
cz18600,Albany,0.4881,0.8213,92.24
cz28504,Burlington,0.4864,0.7976,0.9776
cz19700,Philadelphia,0.4842,0.7871,531.9
cz28501,Springfield,0.4832,0.7497,0.7112
cz25402,Murray,0.4771,0.7628,43.7
cz24300,Chicago,0.4738,0.7902,911.2
cz19300,Poughkeepsie,0.4731,0.7968,113.1
cz16300,Pittsburgh,0.4721,0.8087,179.1
cz20600,Manchester,0.4676,0.8066,131.5
cz29008,Center,0.4675,0.8256,1.342
cz1701,Raleigh,0.467,0.7752,177.9
cz37800,San Francisco,0.467,0.7753,621.2
cz27011,Pierre,0.4622,0.8522,3.833
cz26404,Lemmon,0.4622,0.8213,0.801
cz28303,Oshkosh,0.4622,0.7941,0.7053
cz18000,Buffalo,0.4621,0.8202,173.7
cz26201,Bismarck,0.4612,0.8582,9.53
cz26403,Bowman,0.4569,0.7804,1.04
cz28606,Wano,0.4567,0.7976,1.306
cz29006,Hays,0.4564,0.8208,8.45
cz34403,Helena,0.4556,0.8156,6.535
cz20902,Pittsfield,0.4535,0.802,49.38
cz26804,Cooperstown,0.4523,0.7656,1.656
cz19000,Allentown,0.4517,0.82,312.4
cz20401,Providence,0.4488,0.8113,483.2
cz26411,Sidney,0.4428,0.7885,3.331
cz37500,San Jose,0.4422,0.7647,196.2
cz18800,Scranton,0.4406,0.8133,99.39
cz20800,Springfield,0.4405,0.8047,172.5
cz17700,Syracuse,0.4403,0.8131,78.17
cz20200,Burlington,0.4394,0.8093,54.48
cz21501,Minneapolis,0.4384,0.8353,309.4
cz28602,Norton,0.438,0.8487,3.415
cz36503,Lakeview,0.4375,0.7792,0.3776
cz28701,Salida,0.4375,0.7873,7.687
cz27001,O'Neill,0.4357,0.8118,2.104
cz29601,Columbia,0.4334,0.8098,44.58
cz9100,Atlanta,0.4332,0.7521,440.1
cz26408,Glasgow,0.4325,0.8191,0.598
cz22100,Iowa City,0.4324,0.8306,49.28
cz29103,Beloit,0.4323,0.8131,3.635
cz29101,Concordia,0.4319,0.8154,3.495
cz24701,St. Louis,0.4311,0.802,194.1
cz23200,Dubuque,0.4302,0.8545,28.05
cz15200,Cleveland,0.4299,0.7909,387.9
cz26410,Dickinson,0.4261,0.8212,5.267
cz17900,Union,0.426,0.8035,62.86
cz31102,La Grange,0.4258,0.7889,11.32
cz26801,Fargo,0.4245,0.8517,23.36
cz29204,Topeka,0.4233,0.8116,47.45
cz28702,Glenwood Springs,0.423,0.7583,13.84
cz27504,Carroll,0.4216,0.8441,13.04
cz26501,Brookings,0.4213,0.8492,11.05
cz27301,Spencer,0.4212,0.8387,12.09
cz27501,Des Moines,0.4211,0.8224,84.18
cz28900,Denver,0.4209,0.788,168.9
cz26803,Jamestown,0.4206,0.8502,3.682
cz24100,Milwaukee,0.42,0.8214,294.1
cz11302,Baltimore,0.4199,0.7762,599.8
cz23400,Bloomington,0.4197,0.7617,41.9
cz26503,Sioux Falls,0.4187,0.8438,47.26
cz20302,Claremont,0.4185,0.7996,32.05
cz34402,Bozeman,0.4185,0.783,6.053
cz27010,Miller,0.4175,0.8615,1.072
cz34504,Missoula,0.417,0.7926,12.15
cz28101,Lincoln,0.4169,0.829,56.88
cz28202,Omaha,0.4168,0.8212,97.16
cz23801,Davenport,0.4167,0.8225,71.98
cz2400,Richmond,0.4163,0.7913,137
cz29001,Pratt,0.4151,0.7962,3.568
cz26604,Mobridge,0.412,0.8159,2.102
cz20100,Portland,0.4115,0.7899,34.17
cz23100,Madison,0.4111,0.8355,82.16
cz27503,Atlantic,0.4107,0.8293,10.44
cz18202,St. Marys,0.4101,0.825,14.28
cz16702,Morgantown,0.4098,0.7807,57.17
cz28604,Colby,0.4096,0.82,2.162
cz34404,Butte-Silver Bow,0.4087,0.8182,4.603
cz12701,Cincinnati,0.4087,0.7971,244.7
cz26302,Carrington,0.4074,0.8525,2.191
cz19800,Wilmington,0.4066,0.7917,397.4
cz28304,Valentine,0.4063,0.7991,0.5407
cz27201,Sioux Center,0.406,0.835,17.26
cz16600,Roanoke,0.4057,0.7757,63.7
cz39301,Friday Harbor,0.4051,0.7183,42.11
cz32603,Seymour,0.4048,0.7826,1.826
cz11700,Lansing,0.4039,0.7973,130.4
cz26502,Madison,0.4039,0.8591,6.383
cz27902,York,0.4024,0.8461,8.412
cz26704,Grand Forks,0.4023,0.8472,11.57
cz29104,Salina,0.4015,0.8182,15.89
cz28608,Kearney,0.4008,0.8277,12.79
cz34401,Dillon,0.4007,0.8124,0.8322
cz35803,McCall,0.3997,0.7615,1.104
cz26304,Minot,0.3992,0.8228,6.407
cz20700,Keene,0.3992,0.789,42.18
cz26605,Aberdeen,0.399,0.8514,4.308
cz21802,Decorah,0.3987,0.8527,13.45
cz21701,Rochester,0.3978,0.8483,42.75
cz11600,Detroit,0.3973,0.77,330.6
cz33801,Elk City,0.3964,0.7418,8.617
cz2500,Newport News,0.3963,0.7897,138.1
cz34204,Lewistown,0.3963,0.786,0.9779
cz29502,Kansas City,0.3962,0.7983,145.8
cz14200,Indianapolis,0.3958,0.7913,223.5
cz29102,Superior,0.3945,0.8388,4.658
cz21801,Mason City,0.3942,0.8275,19.04
cz401,Winston-Salem,0.3936,0.7737,125.7
cz28800,Fort Collins,0.3933,0.7833,39.13
cz26203,Linton,0.3929,0.8311,1.038
cz34802,Santa Fe,0.3926,0.743,10.51
cz22200,Cedar Rapids,0.3926,0.8342,56.41
cz27002,Ord,0.3922,0.8214,2.145
cz22002,Iowa Falls,0.3919,0.839,12.08
cz34203,Great Falls,0.3917,0.8089,3.946
cz15600,Wheeling,0.3917,0.8023,38.98
cz27401,Storm Lake,0.3917,0.8391,12.21
cz16901,Charleston,0.3916,0.7653,46.11
cz12901,Lexington-Fayette,0.3916,0.7738,100
cz22001,Waterloo,0.3912,0.838,34.42
cz28603,Phillipsburg,0.3907,0.8406,2.761
cz27102,Marshall,0.3906,0.8503,12.61
cz27801,Columbus-Norfolk,0.3903,0.8369,12.27
cz29203,Manhattan,0.3884,0.8134,18.43
cz16400,Youngstown,0.3877,0.7885,124.2
cz29201,Hiawatha,0.3875,0.8274,8.386
cz1203,Asheville,0.3867,0.7512,88.15
cz23500,Decatur,0.3867,0.8054,45.06
cz21002,Houghton,0.3865,0.7887,7.85
cz34308,Billings,0.3859,0.8062,9.293
cz30401,Stillwater,0.3854,0.7699,29.02
cz13101,Louisville,0.3853,0.7975,164.1
cz4001,Magnolia,0.3849,0.7688,8.737
cz17600,Charlottesville,0.3848,0.764,48.95
cz28305,Broken Bow,0.3847,0.8324,1.672
cz15900,Columbus,0.3845,0.7817,210.4
cz28002,West Point,0.3844,0.8499,7.673
cz31201,Austin,0.384,0.7683,150.6
cz28001,Sioux City,0.3838,0.8297,23.96
cz24802,Springfield,0.3835,0.8136,51.44
cz39400,Seattle,0.3831,0.7665,174.7
cz11401,Marquette,0.3831,0.8144,10.45
cz39202,Enterprise,0.3826,0.7732,0.91
cz11301,Fredericksburg,0.3818,0.7831,115.6
